0	0
0.062832	0.062791
0.12566	0.12533
0.1885	0.18738
0.25133	0.24869
0.31416	0.30902
0.37699	0.36812
0.43982	0.42578
0.50265	0.48175
0.56549	0.53583
0.62832	0.58779
0.69115	0.63742
0.75398	0.68455
0.81681	0.72897
0.87965	0.77051
0.94248	0.80902
1.0053	0.84433
1.0681	0.87631
1.131	0.90483
1.1938	0.92978
1.2566	0.95106
1.3195	0.96858
1.3823	0.98229
1.4451	0.99211
1.508	0.99803
1.5708	1
1.6336	0.99803
1.6965	0.99211
1.7593	0.98229
1.8221	0.96858
1.885	0.95106
1.9478	0.92978
2.0106	0.90483
2.0735	0.87631
2.1363	0.84433
2.1991	0.80902
2.2619	0.77051
2.3248	0.72897
2.3876	0.68455
2.4504	0.63742
2.5133	0.58779
2.5761	0.53583
2.6389	0.48175
2.7018	0.42578
2.7646	0.36812
2.8274	0.30902
2.8903	0.24869
2.9531	0.18738
3.0159	0.12533
3.0788	0.062791
3.1416	1.2246e-16
3.2044	-0.062791
3.2673	-0.12533
3.3301	-0.18738
3.3929	-0.24869
3.4558	-0.30902
3.5186	-0.36812
3.5814	-0.42578
3.6442	-0.48175
3.7071	-0.53583
3.7699	-0.58779
3.8327	-0.63742
3.8956	-0.68455
3.9584	-0.72897
4.0212	-0.77051
4.0841	-0.80902
4.1469	-0.84433
4.2097	-0.87631
4.2726	-0.90483
4.3354	-0.92978
4.3982	-0.95106
4.4611	-0.96858
4.5239	-0.98229
4.5867	-0.99211
4.6496	-0.99803
4.7124	-1
4.7752	-0.99803
4.8381	-0.99211
4.9009	-0.98229
4.9637	-0.96858
5.0265	-0.95106
5.0894	-0.92978
5.1522	-0.90483
5.215	-0.87631
5.2779	-0.84433
5.3407	-0.80902
5.4035	-0.77051
5.4664	-0.72897
5.5292	-0.68455
5.592	-0.63742
5.6549	-0.58779
5.7177	-0.53583
5.7805	-0.48175
5.8434	-0.42578
5.9062	-0.36812
5.969	-0.30902
6.0319	-0.24869
6.0947	-0.18738
6.1575	-0.12533
6.2204	-0.062791
6.2832	-2.4493e-16
